source,target,edge_type,status
N20_a_f,D0_39_a_m,directed,accepted
N16_a_m,N24_a_m,partial,accepted
Z_57_d_m,Z_57_a_m,partial,accepted
N33_a_f,N30_a_f,partial,accepted
N13_a_m,N19_a_m,partial,accepted
N21_a_f,N42_a_m,directed,accepted
N22_a_m,D0_22_a_x,directed,accepted
N38_d_m,N38_d_g,partial,accepted
N2_a_f,N68_a_m,directed,accepted
Z_34_d_m,Z_23_d_f,bidirected,accepted
Z_23_d_f,Z_34_d_m,bidirected,accepted
N21_a_m,N51_a_m,directed,accepted
N42_a_m,D0_41_a_m,partial,accepted
N21_a_f,N51_a_m,directed,accepted
N22_a_m,N50_a_f,directed,accepted
N22_a_f,D0_22_a_x,directed,accepted
N62_d_f,N62_d_g,partial,accepted
Z_57_a_f,Z_57_d_f,partial,accepted
N21_a_m,N42_a_m,directed,accepted
N17_a_f,N38_a_f,directed,accepted
N50_a_m,D0_41_a_m,partial,accepted
Z_68_d_f,Z_68_a_f,partial,accepted
N6_a_m,N10_a_m,partial,accepted
N14_d_f,N14_d_g,partial,accepted
Z_25_d_f,Z_25_a_f,undirected,accepted
N33_a_f,D0_33_a_x,directed,accepted
Z_55_a_f,N16_d_f,partial,accepted
N17_a_m,D0_17_a_x,directed,accepted
N2_d_m,N2_d_g,partial,accepted
N33_a_m,D0_33_a_x,directed,accepted
N57_d_f,N57_d_g,partial,accepted
N17_a_f,D0_17_a_x,directed,accepted
N2_d_f,N2_d_g,partial,accepted
N21_a_f,N49_a_m,directed,accepted
N22_a_m,N48_a_f,directed,accepted
N29_a_f,D0_29_a_x,directed,accepted
Z_68_d_m,Z_68_a_m,undirected,accepted
Z_25_d_m,Z_25_a_m,undirected,accepted
N69_d_m,N69_d_g,partial,accepted
N16_a_f,N24_a_m,partial,accepted
N26_d_m,N26_d_g,partial,accepted
D1_39_a_m,Z_8_a_f,partial,accepted
N29_a_m,D0_29_a_x,directed,accepted
N6_a_f,N10_a_m,partial,accepted
N22_a_f,N48_a_f,directed,accepted
Z_30_d_f,Z_30_a_f,bidirected,accepted
Z_30_a_f,Z_30_d_f,bidirected,accepted
Z_64_a_m,Z_27_d_f,bidirected,accepted
Z_27_d_f,Z_64_a_m,bidirected,accepted
Z_41_d_m,Z_41_a_m,bidirected,accepted
Z_41_a_m,Z_41_d_m,bidirected,accepted
N18_a_f,D0_39_a_f,directed,accepted
Z_46_d_f,Z_19_a_m,bidirected,accepted
Z_19_a_m,Z_46_d_f,bidirected,accepted
Z_50_a_m,Z_50_d_m,partial,accepted
Z_33_d_m,Z_33_a_m,bidirected,accepted
Z_33_a_m,Z_33_d_m,bidirected,accepted
N18_a_m,D0_39_a_f,directed,accepted
N19_a_m,N35_a_m,directed,accepted
N38_d_f,N38_d_g,partial,accepted
Z_50_d_f,Z_50_a_f,partial,accepted
D1_28_a_m,Z_18_d_f,partial,accepted
N49_d_m,N49_d_g,partial,accepted
Z_33_d_f,Z_33_a_f,undirected,accepted
N62_a_m,N65_a_f,partial,accepted
N13_a_f,N19_a_m,partial,accepted
Z_32_d_f,Z_42_d_f,bidirected,accepted
Z_42_d_f,Z_32_d_f,bidirected,accepted
Z_41_d_f,Z_41_a_f,undirected,accepted
N15_d_m,N15_d_g,bidirected,accepted
N15_d_g,N15_d_m,bidirected,accepted
N58_d_m,N58_d_g,partial,accepted
N62_a_f,N65_a_f,partial,accepted
Z_33_a_m,Z_18_a_f,bidirected,accepted
Z_18_a_f,Z_33_a_m,bidirected,accepted
N2_a_m,N4_a_m,directed,accepted
N21_a_m,N52_a_m,directed,accepted
N70_d_f,N70_d_g,partial,accepted
N13_a_f,D0_13_a_x,partial,accepted
N6_a_f,N9_a_m,partial,accepted
N26_a_f,D0_26_a_x,directed,accepted
Z_65_d_m,Z_65_a_m,partial,accepted
Z_48_d_f,Z_48_a_f,partial,accepted
N2_a_f,N4_a_m,directed,accepted
Z_18_d_m,Z_18_a_m,undirected,accepted
N21_a_f,N52_a_m,directed,accepted
N22_a_m,N51_a_f,directed,accepted
N30_a_m,D0_30_a_x,directed,accepted
N6_a_f,N11_a_m,partial,accepted
N70_d_m,N70_d_g,partial,accepted
N23_d_f,N23_d_g,partial,accepted
N22_a_f,N51_a_f,directed,accepted
N10_d_m,N10_d_g,partial,accepted
N6_a_m,N11_a_m,partial,accepted
N53_d_f,N53_d_g,partial,accepted
N66_d_f,N66_d_g,partial,accepted
N23_d_m,N23_d_g,partial,accepted
N7_a_m,N8_a_m,undirected,accepted
N6_a_m,N9_a_m,partial,accepted
N10_d_f,N10_d_g,partial,accepted
Z_48_a_m,Z_48_d_m,partial,accepted
N49_d_f,N49_d_g,partial,accepted
N53_d_m,N53_d_g,partial,accepted
N13_a_m,D0_13_a_x,partial,accepted
N66_d_m,N66_d_g,partial,accepted
Z_22_d_m,Z_22_a_m,undirected,accepted
Z_18_d_f,Z_18_a_f,bidirected,accepted
Z_18_a_f,Z_18_d_f,bidirected,accepted
N26_a_m,D0_26_a_x,directed,accepted
N17_a_f,N37_a_f,directed,accepted
N61_a_f,N1_a_m,partial,accepted
N22_a_f,N49_a_f,directed,accepted
N19_a_f,N35_a_m,directed,accepted
N17_a_m,N37_a_f,directed,accepted
N61_a_m,N1_a_m,partial,accepted
Z_22_a_f,Z_22_d_f,partial,accepted
N22_a_m,N49_a_f,directed,accepted
N19_a_m,N29_a_m,directed,accepted
Z_65_a_f,Z_65_d_f,partial,accepted
N30_a_f,D0_30_a_x,directed,accepted
N5_a_m,N72_a_f,partial,accepted
N5_a_f,N72_a_f,partial,accepted
N19_a_f,N29_a_m,directed,accepted
N43_d_m,N43_d_g,partial,accepted
N13_a_f,N21_a_m,partial,accepted
N23_a_f,N54_a_m,directed,accepted
N63_a_m,N2_a_m,partial,accepted
N21_a_f,N48_a_m,directed,accepted
N22_a_m,N47_a_f,directed,accepted
N5_d_f,N5_d_g,partial,accepted
N21_a_m,N48_a_m,directed,accepted
N63_a_f,N2_a_m,partial,accepted
N55_a_m,N57_a_m,directed,accepted
N23_a_m,N54_a_m,directed,accepted
N54_a_f,N58_a_f,directed,accepted
N43_d_f,N43_d_g,partial,accepted
N38_a_f,N31_a_f,partial,accepted
N35_a_f,N34_a_f,partial,accepted
N22_a_f,N47_a_f,directed,accepted
N13_a_m,N21_a_m,partial,accepted
N5_d_m,N5_d_g,partial,accepted
N55_a_f,N57_a_m,directed,accepted
N54_a_m,N58_a_f,directed,accepted
N46_a_m,D0_46_a_x,directed,accepted
N4_a_m,N10_a_f,directed,accepted
N46_a_f,D0_46_a_x,directed,accepted
Z_19_d_m,Z_2_a_f,bidirected,accepted
Z_2_a_f,Z_19_d_m,bidirected,accepted
Z_50_d_m,Z_2_d_f,bidirected,accepted
Z_2_d_f,Z_50_d_m,bidirected,accepted
N4_a_f,N10_a_f,directed,accepted
N27_d_m,N27_d_g,partial,accepted
N17_a_f,N32_a_f,directed,accepted
Z_28_d_m,Z_28_a_m,undirected,accepted
N33_d_f,N33_d_g,partial,accepted
N36_a_m,D0_36_a_x,directed,accepted
N45_a_m,N52_a_m,partial,accepted
N71_a_m,N26_a_m,directed,accepted
N19_a_f,N30_a_m,directed,accepted
N17_a_m,N32_a_f,directed,accepted
N33_d_m,N33_d_g,partial,accepted
N17_a_f,D0_27_a_f,directed,accepted
N72_a_m,N25_a_f,directed,accepted
N71_a_f,N26_a_m,directed,accepted
Z_28_d_f,Z_28_a_f,undirected,accepted
N72_a_f,N25_a_f,directed,accepted
Z_71_a_m,Z_10_d_m,bidirected,accepted
Z_10_d_m,Z_71_a_m,bidirected,accepted
N36_a_f,D0_36_a_x,directed,accepted
N18_a_m,D0_18_a_x,directed,accepted
Z_56_d_f,Z_56_a_f,undirected,accepted
N37_d_m,N37_d_g,partial,accepted
N1_a_f,N4_a_f,directed,accepted
N18_a_f,D0_18_a_x,directed,accepted
N58_d_f,N58_d_g,partial,accepted
N15_d_f,N15_d_g,partial,accepted
Z_56_d_m,Z_56_a_m,bidirected,accepted
Z_56_a_m,Z_56_d_m,bidirected,accepted
N19_a_m,N30_a_m,directed,accepted
Z_44_d_m,Z_44_a_m,partial,accepted
Z_72_d_f,Z_72_a_f,partial,accepted
N65_a_f,N67_a_m,directed,accepted
Z_37_a_m,Z_24_d_m,bidirected,accepted
Z_24_d_m,Z_37_a_m,bidirected,accepted
N52_a_m,D0_52_a_x,directed,accepted
N65_a_m,N67_a_m,directed,accepted
Z_72_d_m,Z_72_a_m,undirected,accepted
Z_44_a_f,Z_44_d_f,partial,accepted
N22_a_f,N52_a_f,directed,accepted
N9_a_m,N20_a_f,directed,accepted
N7_a_f,N18_a_m,directed,accepted
Z_8_d_f,Z_8_a_f,partial,accepted
N52_a_f,D0_52_a_x,directed,accepted
N27_d_f,N27_d_g,partial,accepted
N17_a_m,D0_28_a_f,directed,accepted
N61_d_m,N61_d_g,partial,accepted
Z_38_d_f,Z_38_a_f,bidirected,accepted
Z_38_a_f,Z_38_d_f,bidirected,accepted
N7_a_m,N18_a_m,directed,accepted
N21_a_m,N53_a_m,directed,accepted
Z_38_d_m,Z_38_a_m,undirected,accepted
N21_a_m,D0_21_a_x,directed,accepted
N2_a_m,N3_a_m,directed,accepted
N9_a_f,N20_a_f,directed,accepted
N21_a_f,N53_a_m,directed,accepted
N22_a_m,N52_a_f,directed,accepted
N21_a_f,D0_21_a_x,directed,accepted
N2_a_f,N3_a_m,directed,accepted
N1_a_m,N4_a_f,directed,accepted
N61_d_f,N61_d_g,partial,accepted
N62_a_f,N2_a_f,partial,accepted
N37_a_m,D0_28_a_m,partial,accepted
N48_d_m,N48_d_g,partial,accepted
N54_a_f,N57_a_f,directed,accepted
N10_a_f,N23_a_f,directed,accepted
N62_a_m,N2_a_f,partial,accepted
Z_52_d_m,Z_65_a_m,partial,accepted
N21_a_m,N49_a_m,directed,accepted
Z_41_d_m,N15_d_m,bidirected,accepted
N15_d_m,Z_41_d_m,bidirected,accepted
N9_a_f,N21_a_f,directed,accepted
D1_27_a_f,Z_55_d_f,partial,accepted
N8_a_f,N22_a_m,directed,accepted
N9_a_m,N21_a_f,directed,accepted
N21_a_m,N47_a_m,directed,accepted
N13_a_m,N20_a_m,partial,accepted
Z_38_d_f,Z_45_a_f,bidirected,accepted
Z_45_a_f,Z_38_d_f,bidirected,accepted
N21_a_m,D0_41_a_m,directed,accepted
N5_a_m,N7_a_f,partial,accepted
N8_a_m,N22_a_m,directed,accepted
Z_40_d_f,Z_40_a_f,undirected,accepted
N21_a_f,N47_a_m,directed,accepted
N22_a_m,N46_a_f,directed,accepted
N54_a_m,N57_a_f,directed,accepted
N13_a_f,N20_a_m,partial,accepted
N10_a_m,N23_a_f,directed,accepted
N22_a_f,N46_a_f,directed,accepted
N5_a_f,N7_a_f,partial,accepted
N21_a_f,D0_41_a_m,directed,accepted
N31_a_m,D0_31_a_x,directed,accepted
Z_23_d_m,Z_23_a_m,partial,accepted
Z_49_a_f,Z_49_d_f,partial,accepted
N70_a_f,N26_a_f,directed,accepted
N9_d_m,N9_d_g,partial,accepted
Z_26_a_f,Z_20_d_m,bidirected,accepted
Z_20_d_m,Z_26_a_f,bidirected,accepted
Z_40_d_m,Z_40_a_m,undirected,accepted
N31_a_f,D0_31_a_x,directed,accepted
N57_a_f,D0_57_a_x,directed,accepted
N61_a_f,N64_a_m,partial,accepted
Z_23_a_f,Z_23_d_f,partial,accepted
N45_a_f,N46_a_f,undirected,accepted
N11_d_f,N11_d_g,partial,accepted
Z_9_d_m,Z_9_a_m,bidirected,accepted
Z_9_a_m,Z_9_d_m,bidirected,accepted
N17_a_f,N31_a_f,directed,accepted
Z_57_a_m,Z_49_a_m,bidirected,accepted
Z_49_a_m,Z_57_a_m,bidirected,accepted
N54_d_f,N54_d_g,partial,accepted
N61_a_m,N64_a_m,partial,accepted
N19_a_f,N37_a_m,directed,accepted
N57_a_m,D0_57_a_x,directed,accepted
N69_a_m,N70_a_m,partial,accepted
N11_d_m,N11_d_g,partial,accepted
N54_d_m,N54_d_g,partial,accepted
N17_a_m,N31_a_f,directed,accepted
N37_d_f,N37_d_g,partial,accepted
Z_49_d_m,Z_49_a_m,partial,accepted
N9_d_f,N9_d_g,partial,accepted
N19_a_m,N37_a_m,directed,accepted
N69_a_f,N70_a_m,partial,accepted
N70_a_m,N26_a_f,directed,accepted
N43_a_m,N48_a_m,undirected,accepted
N19_a_f,N38_a_m,directed,accepted
Z_71_d_f,Z_45_d_m,bidirected,accepted
Z_45_d_m,Z_71_d_f,bidirected,accepted
Z_51_d_f,Z_51_a_f,undirected,accepted
N17_a_f,N30_a_f,directed,accepted
Z_26_d_m,Z_49_d_f,bidirected,accepted
Z_49_d_f,Z_26_d_m,bidirected,accepted
N59_d_m,N59_d_g,partial,accepted
N19_a_m,N38_a_m,directed,accepted
N17_a_m,N30_a_f,directed,accepted
N71_d_m,N71_d_g,partial,accepted
N16_d_m,N16_d_g,partial,accepted
N1_a_f,N3_a_f,directed,accepted
N17_a_m,D0_27_a_f,directed,accepted
N71_d_f,N71_d_g,partial,accepted
N60_a_f,N64_a_f,partial,accepted
N60_a_m,N64_a_f,partial,accepted
Z_43_a_f,Z_19_d_f,bidirected,accepted
Z_19_d_f,Z_43_a_f,bidirected,accepted
Z_4_a_f,Z_4_d_f,partial,accepted
N4_a_f,N11_a_f,directed,accepted
Z_35_a_m,Z_41_a_m,bidirected,accepted
Z_41_a_m,Z_35_a_m,bidirected,accepted
N22_a_m,N53_a_f,directed,accepted
N25_a_f,D0_25_a_x,directed,accepted
N42_a_m,D0_42_a_x,directed,accepted
N5_a_m,N8_a_f,partial,accepted
N4_a_m,N9_a_f,directed,accepted
N4_a_m,N11_a_f,directed,accepted
Z_17_d_m,Z_17_a_m,undirected,accepted
N66_a_f,Z_1_a_m,bidirected,accepted
Z_1_a_m,N66_a_f,bidirected,accepted
N5_a_f,N8_a_f,partial,accepted
N4_a_f,N9_a_f,directed,accepted
N42_a_f,D0_42_a_x,directed,accepted
N1_a_m,N3_a_f,directed,accepted
Z_45_a_m,Z_4_d_f,bidirected,accepted
Z_4_d_f,Z_45_a_m,bidirected,accepted
N7_a_f,N17_a_m,directed,accepted
Z_34_d_f,Z_34_a_f,bidirected,accepted
Z_34_a_f,Z_34_d_f,bidirected,accepted
N65_d_f,N65_d_g,partial,accepted
Z_51_d_m,Z_51_a_m,undirected,accepted
N22_d_m,N22_d_g,partial,accepted
Z_64_a_f,Z_8_a_m,bidirected,accepted
Z_8_a_m,Z_64_a_f,bidirected,accepted
N7_a_m,N17_a_m,directed,accepted
N48_d_f,N48_d_g,partial,accepted
Z_34_a_m,Z_34_d_m,partial,accepted
N22_a_f,N53_a_f,directed,accepted
Z_34_d_m,Z_7_d_f,bidirected,accepted
Z_7_d_f,Z_34_d_m,bidirected,accepted
N65_d_m,N65_d_g,partial,accepted
N25_a_m,D0_25_a_x,directed,accepted
N22_d_f,N22_d_g,partial,accepted
Z_17_d_f,Z_17_a_f,undirected,accepted
N22_a_m,D0_41_a_f,directed,accepted
Z_19_a_f,Z_4_d_m,bidirected,accepted
Z_4_d_m,Z_19_a_f,bidirected,accepted
N22_a_f,D0_41_a_f,directed,accepted
N17_a_f,N18_a_f,undirected,accepted
Z_71_d_m,Z_71_a_m,partial,accepted
N67_a_m,N71_a_m,directed,accepted
N60_d_m,N60_d_g,partial,accepted
N20_a_m,N40_a_m,directed,accepted
N67_a_f,N71_a_m,directed,accepted
N68_a_m,N70_a_f,directed,accepted
N60_d_f,N60_d_g,bidirected,accepted
N60_d_g,N60_d_f,bidirected,accepted
N19_a_f,N32_a_m,directed,accepted
N17_a_m,N34_a_f,directed,accepted
Z_20_a_m,Z_20_d_m,partial,accepted
N20_a_f,N40_a_m,directed,accepted
N55_a_m,N59_a_m,directed,accepted
N68_a_f,N70_a_f,directed,accepted
N17_a_f,N34_a_f,directed,accepted
N3_a_f,N8_a_m,directed,accepted
N3_a_m,N8_a_m,directed,accepted
Z_50_a_f,Z_21_d_f,bidirected,accepted
Z_21_d_f,Z_50_a_f,bidirected,accepted
Z_20_d_f,Z_20_a_f,undirected,accepted
Z_19_d_f,Z_19_a_f,bidirected,accepted
Z_19_a_f,Z_19_d_f,bidirected,accepted
N21_a_m,N46_a_m,directed,accepted
N14_a_f,N22_a_f,partial,accepted
N4_d_f,N4_d_g,partial,accepted
N19_a_f,D0_19_a_x,directed,accepted
N36_d_m,N36_d_g,partial,accepted
N21_a_f,N46_a_m,directed,accepted
N22_a_m,N45_a_f,directed,accepted
N14_a_m,N22_a_f,partial,accepted
N4_d_m,N4_d_g,partial,accepted
N19_a_m,D0_19_a_x,directed,accepted
Z_4_a_m,Z_4_d_m,partial,accepted
N16_d_f,N16_d_g,bidirected,accepted
N16_d_g,N16_d_f,bidirected,accepted
N59_d_f,N59_d_g,partial,accepted
N37_a_f,N30_a_f,partial,accepted
N36_a_f,N31_a_f,partial,accepted
N22_a_f,N45_a_f,directed,accepted
Z_19_d_m,Z_19_a_m,bidirected,accepted
Z_19_a_m,Z_19_d_m,bidirected,accepted
Z_57_d_f,Z_67_d_f,bidirected,accepted
Z_67_d_f,Z_57_d_f,bidirected,accepted
N28_d_f,N28_d_g,partial,accepted
Z_71_a_f,Z_71_d_f,partial,accepted
N24_d_f,N24_d_g,partial,accepted
N28_d_m,N28_d_g,partial,accepted
N24_d_m,N24_d_g,partial,accepted
N51_a_f,D0_51_a_x,directed,accepted
N32_d_f,N32_d_g,partial,accepted
Z_27_d_m,Z_27_a_m,undirected,accepted
N35_a_m,D0_35_a_x,directed,accepted
Z_43_a_m,Z_43_d_m,partial,accepted
Z_39_a_f,Z_39_d_f,partial,accepted
Z_65_d_f,Z_35_d_f,bidirected,accepted
Z_35_d_f,Z_65_d_f,bidirected,accepted
N32_d_m,N32_d_g,partial,accepted
N35_a_f,D0_35_a_x,directed,accepted
N73_a_m,N25_a_m,partial,accepted
Z_22_d_f,N13_d_f,bidirected,accepted
N13_d_f,Z_22_d_f,bidirected,accepted
Z_27_a_f,Z_27_d_f,partial,accepted
Z_39_d_m,Z_39_a_m,undirected,accepted
Z_55_a_f,Z_55_d_f,partial,accepted
Z_64_d_f,Z_46_a_f,bidirected,accepted
Z_46_a_f,Z_64_d_f,bidirected,accepted
Z_44_d_f,N6_d_f,bidirected,accepted
N6_d_f,Z_44_d_f,bidirected,accepted
N73_a_f,N25_a_m,partial,accepted
N44_d_f,N44_d_g,partial,accepted
N20_a_f,D0_20_a_x,directed,accepted
N47_a_m,D0_47_a_x,directed,accepted
Z_55_a_m,Z_55_d_m,partial,accepted
N20_a_m,D0_20_a_x,directed,accepted
N44_d_m,N44_d_g,partial,accepted
N19_a_m,N32_a_m,directed,accepted
Z_26_d_f,Z_67_a_m,partial,accepted
N47_a_f,D0_47_a_x,directed,accepted
N19_a_m,D0_28_a_m,directed,accepted
N19_a_f,D0_28_a_m,directed,accepted
N54_a_f,N59_a_f,directed,accepted
Z_54_a_m,Z_49_a_m,bidirected,accepted
Z_49_a_m,Z_54_a_m,bidirected,accepted
Z_7_d_f,Z_7_a_f,bidirected,accepted
Z_7_a_f,Z_7_d_f,bidirected,accepted
N55_a_m,N58_a_m,directed,accepted
Z_72_a_m,Z_48_a_f,partial,accepted
N13_d_m,N13_d_g,partial,accepted
Z_43_d_f,Z_43_a_f,partial,accepted
N51_a_m,D0_51_a_x,directed,accepted
N55_a_f,N58_a_m,directed,accepted
N54_a_m,N59_a_f,directed,accepted
Z_59_d_m,Z_59_a_m,undirected,accepted
N24_a_m,D0_24_a_x,directed,accepted
N3_a_f,N7_a_m,directed,accepted
N32_a_f,D0_32_a_x,directed,accepted
Z_67_d_f,Z_67_a_f,bidirected,accepted
Z_67_a_f,Z_67_d_f,bidirected,accepted
Z_24_d_f,Z_24_a_f,partial,accepted
Z_67_d_m,Z_67_a_m,bidirected,accepted
Z_67_a_m,Z_67_d_m,bidirected,accepted
N58_a_f,D0_58_a_x,directed,accepted
Z_46_d_m,Z_8_d_m,bidirected,accepted
Z_8_d_m,Z_46_d_m,bidirected,accepted
N3_a_m,N7_a_m,directed,accepted
N32_a_m,D0_32_a_x,directed,accepted
Z_29_d_m,Z_33_d_m,bidirected,accepted
Z_33_d_m,Z_29_d_m,bidirected,accepted
N47_d_f,N47_d_g,partial,accepted
N64_d_m,N64_d_g,partial,accepted
Z_59_d_f,Z_59_a_f,undirected,accepted
N58_a_m,D0_58_a_x,directed,accepted
N1_d_m,N1_d_g,partial,accepted
N21_d_m,N21_d_g,partial,accepted
N12_d_f,N12_d_g,partial,accepted
Z_8_d_m,Z_8_a_m,bidirected,accepted
Z_8_a_m,Z_8_d_m,bidirected,accepted
N71_a_f,N66_a_f,bidirected,accepted
N66_a_f,N71_a_f,bidirected,accepted
N24_a_f,D0_24_a_x,directed,accepted
Z_24_a_m,Z_24_d_m,partial,accepted
Z_31_d_f,Z_31_a_f,undirected,accepted
N64_d_f,N64_d_g,partial,accepted
N21_d_f,N21_d_g,partial,accepted
N17_a_f,D0_28_a_f,directed,accepted
N71_a_f,N66_a_m,bidirected,accepted
N66_a_m,N71_a_f,bidirected,accepted
N12_d_m,N12_d_g,partial,accepted
N55_d_m,N55_d_g,partial,accepted
Z_71_a_m,Z_34_a_f,bidirected,accepted
Z_34_a_f,Z_71_a_m,bidirected,accepted
N21_a_f,N45_a_m,directed,accepted
N22_a_m,N44_a_f,directed,accepted
N19_a_f,N31_a_m,directed,accepted
N17_a_m,N33_a_f,directed,accepted
Z_31_d_m,Z_31_a_m,undirected,accepted
N72_d_m,N72_d_g,partial,accepted
N55_d_f,N55_d_g,partial,accepted
N17_a_f,N33_a_f,directed,accepted
N21_a_m,N45_a_m,directed,accepted
N1_d_f,N1_d_g,partial,accepted
N72_d_f,N72_d_g,partial,accepted
Z_70_d_m,Z_32_d_f,bidirected,accepted
Z_32_d_f,Z_70_d_m,bidirected,accepted
N11_a_m,N24_a_f,directed,accepted
N11_a_f,N24_a_f,directed,accepted
Z_42_a_m,Z_52_d_f,bidirected,accepted
Z_52_d_f,Z_42_a_m,bidirected,accepted
N22_a_f,N44_a_f,directed,accepted
N43_a_m,D0_43_a_x,directed,accepted
Z_35_d_m,Z_35_a_m,partial,accepted
N8_d_m,N8_d_g,partial,accepted
N47_a_m,N52_a_m,partial,accepted
Z_52_d_m,Z_52_a_m,undirected,accepted
N43_a_f,D0_43_a_x,directed,accepted
N40_d_f,N40_d_g,partial,accepted
N40_d_m,N40_d_g,partial,accepted
Z_35_d_f,Z_35_a_f,bidirected,accepted
Z_35_a_f,Z_35_d_f,bidirected,accepted
N49_a_f,N50_a_f,undirected,accepted
Z_47_a_m,Z_1_a_f,bidirected,accepted
Z_1_a_f,Z_47_a_m,bidirected,accepted
N8_d_f,N8_d_g,partial,accepted
N19_a_m,N31_a_m,directed,accepted
N36_d_f,N36_d_g,partial,accepted
Z_3_d_f,Z_3_a_f,undirected,accepted
N64_a_m,N67_a_f,directed,accepted
N19_a_m,D0_27_a_m,directed,accepted
N17_d_m,N17_d_g,partial,accepted
N19_a_f,D0_27_a_m,directed,accepted
N47_d_m,N47_d_g,partial,accepted
N55_a_f,N59_a_m,directed,accepted
Z_3_d_m,Z_3_a_m,bidirected,accepted
Z_3_a_m,Z_3_d_m,bidirected,accepted
N17_d_f,N17_d_g,partial,accepted
Z_44_a_m,Z_11_d_f,bidirected,accepted
Z_11_d_f,Z_44_a_m,bidirected,accepted
Z_52_a_f,Z_52_d_f,partial,accepted
N64_a_f,N67_a_f,directed,accepted
Z_11_d_m,Z_11_a_m,undirected,accepted
N51_d_f,N51_d_g,partial,accepted
Z_54_d_m,Z_54_a_m,partial,accepted
Z_46_a_m,Z_46_d_m,partial,accepted
N35_d_m,N35_d_g,partial,accepted
N19_a_m,N34_a_m,directed,accepted
N63_a_m,N65_a_m,partial,accepted
N54_a_f,D0_54_a_x,directed,accepted
Z_70_a_m,Z_70_d_m,partial,accepted
Z_46_d_f,Z_46_a_f,bidirected,accepted
Z_46_a_f,Z_46_d_f,bidirected,accepted
N51_d_m,N51_d_g,partial,accepted
N54_a_m,D0_54_a_x,directed,accepted
N63_a_f,N65_a_m,partial,accepted
Z_70_a_f,Z_70_d_f,partial,accepted
Z_34_d_f,Z_45_d_m,bidirected,accepted
